"Date","sulfate","nitrate","ID"
"2003-05-13",NA,NA,4
"2003-05-14",NA,NA,4
"2003-05-15",3.9,0.941,4
"2003-05-16",NA,NA,4
"2003-05-17",NA,NA,4
"2003-05-18",NA,NA,4
"2003-05-19",NA,NA,4
"2003-05-20",NA,NA,4
"2003-05-21",5.16,0.898,4
"2003-05-22",NA,NA,4
"2003-05-23",NA,NA,4
"2003-05-24",NA,NA,4
"2003-05-25",NA,NA,4
"2003-05-26",NA,NA,4
"2003-05-27",6.34,0.776,4
"2003-05-28",NA,NA,4
"2003-05-29",NA,NA,4
"2003-05-30",NA,NA,4
"2003-05-31",NA,NA,4
"2003-06-01",NA,NA,4
"2003-06-02",4.63,0.482,4
"2003-06-03",NA,NA,4
"2003-06-04",NA,NA,4
"2003-06-05",NA,NA,4
"2003-06-06",NA,NA,4
"2003-06-07",NA,NA,4
"2003-06-08",6.59,0.333,4
"2003-06-09",NA,NA,4
"2003-06-10",NA,NA,4
"2003-06-11",NA,NA,4
"2003-06-12",NA,NA,4
"2003-06-13",NA,NA,4
"2003-06-14",1.72,0.265,4
"2003-06-15",NA,NA,4
"2003-06-16",NA,NA,4
"2003-06-17",NA,NA,4
"2003-06-18",NA,NA,4
"2003-06-19",NA,NA,4
"2003-06-20",6.42,0.55,4
"2003-06-21",NA,NA,4
"2003-06-22",NA,NA,4
"2003-06-23",NA,NA,4
"2003-06-24",NA,NA,4
"2003-06-25",NA,NA,4
"2003-06-26",9.09,0.566,4
"2003-06-27",NA,NA,4
"2003-06-28",NA,NA,4
"2003-06-29",NA,NA,4
"2003-06-30",NA,NA,4
"2003-07-01",NA,NA,4
"2003-07-02",3.19,0.241,4
"2003-07-03",NA,NA,4
"2003-07-04",NA,NA,4
"2003-07-05",NA,NA,4
"2003-07-06",NA,NA,4
"2003-07-07",NA,NA,4
"2003-07-08",2.61,0.569,4
"2003-07-09",NA,NA,4
"2003-07-10",NA,NA,4
"2003-07-11",NA,NA,4
"2003-07-12",NA,NA,4
"2003-07-13",NA,NA,4
"2003-07-14",2.61,0.364,4
"2003-07-15",NA,NA,4
"2003-07-16",NA,NA,4
"2003-07-17",NA,NA,4
"2003-07-18",NA,NA,4
"2003-07-19",NA,NA,4
"2003-07-20",2.14,0.227,4
"2003-07-21",NA,NA,4
"2003-07-22",NA,NA,4
"2003-07-23",NA,NA,4
"2003-07-24",NA,NA,4
"2003-07-25",NA,NA,4
"2003-07-26",8.34,0.396,4
"2003-07-27",NA,NA,4
"2003-07-28",NA,NA,4
"2003-07-29",NA,NA,4
"2003-07-30",NA,NA,4
"2003-07-31",NA,NA,4
"2003-08-01",7.33,0.316,4
"2003-08-02",NA,NA,4
"2003-08-03",NA,NA,4
"2003-08-04",NA,NA,4
"2003-08-05",NA,NA,4
"2003-08-06",NA,NA,4
"2003-08-07",7.26,0.233,4
"2003-08-08",NA,NA,4
"2003-08-09",NA,NA,4
"2003-08-10",NA,NA,4
"2003-08-11",NA,NA,4
"2003-08-12",NA,NA,4
"2003-08-13",NA,NA,4
"2003-08-14",NA,NA,4
"2003-08-15",NA,NA,4
"2003-08-16",NA,NA,4
"2003-08-17",NA,NA,4
"2003-08-18",NA,NA,4
"2003-08-19",7.73,0.75,4
"2003-08-20",NA,NA,4
"2003-08-21",NA,NA,4
"2003-08-22",NA,NA,4
"2003-08-23",NA,NA,4
"2003-08-24",NA,NA,4
"2003-08-25",15.6,0.476,4
"2003-08-26",NA,NA,4
"2003-08-27",NA,NA,4
"2003-08-28",NA,NA,4
"2003-08-29",NA,NA,4
"2003-08-30",NA,NA,4
"2003-08-31",2.24,0.227,4
"2003-09-01",NA,NA,4
"2003-09-02",NA,NA,4
"2003-09-03",NA,NA,4
"2003-09-04",NA,NA,4
"2003-09-05",NA,NA,4
"2003-09-06",10.2,0.335,4
"2003-09-07",NA,NA,4
"2003-09-08",NA,NA,4
"2003-09-09",NA,NA,4
"2003-09-10",NA,NA,4
"2003-09-11",NA,NA,4
"2003-09-12",8.78,0.646,4
"2003-09-13",NA,NA,4
"2003-09-14",NA,NA,4
"2003-09-15",NA,NA,4
"2003-09-16",NA,NA,4
"2003-09-17",NA,NA,4
"2003-09-18",11.4,0.456,4
"2003-09-19",NA,NA,4
"2003-09-20",NA,NA,4
"2003-09-21",NA,NA,4
"2003-09-22",NA,NA,4
"2003-09-23",NA,NA,4
"2003-09-24",4.82,0.792,4
"2003-09-25",NA,NA,4
"2003-09-26",NA,NA,4
"2003-09-27",NA,NA,4
"2003-09-28",NA,NA,4
"2003-09-29",NA,NA,4
"2003-09-30",3.26,0.392,4
"2003-10-01",NA,NA,4
"2003-10-02",NA,NA,4
"2003-10-03",NA,NA,4
"2003-10-04",NA,NA,4
"2003-10-05",NA,NA,4
"2003-10-06",6.36,2.16,4
"2003-10-07",NA,NA,4
"2003-10-08",NA,NA,4
"2003-10-09",NA,NA,4
"2003-10-10",NA,NA,4
"2003-10-11",NA,NA,4
"2003-10-12",3.35,0.824,4
"2003-10-13",NA,NA,4
"2003-10-14",NA,NA,4
"2003-10-15",NA,NA,4
"2003-10-16",NA,NA,4
"2003-10-17",NA,NA,4
"2003-10-18",3.97,2.7,4
"2003-10-19",NA,NA,4
"2003-10-20",NA,NA,4
"2003-10-21",NA,NA,4
"2003-10-22",NA,NA,4
"2003-10-23",NA,NA,4
"2003-10-24",3.94,0.748,4
"2003-10-25",NA,NA,4
"2003-10-26",NA,NA,4
"2003-10-27",NA,NA,4
"2003-10-28",NA,NA,4
"2003-10-29",NA,NA,4
"2003-10-30",3.35,1.14,4
"2003-10-31",NA,NA,4
"2003-11-01",NA,NA,4
"2003-11-02",NA,NA,4
"2003-11-03",NA,NA,4
"2003-11-04",NA,NA,4
"2003-11-05",3.26,0.611,4
"2003-11-06",NA,NA,4
"2003-11-07",NA,NA,4
"2003-11-08",NA,NA,4
"2003-11-09",NA,NA,4
"2003-11-10",NA,NA,4
"2003-11-11",2.08,0.58,4
"2003-11-12",NA,NA,4
"2003-11-13",NA,NA,4
"2003-11-14",NA,NA,4
"2003-11-15",NA,NA,4
"2003-11-16",NA,NA,4
"2003-11-17",3.56,0.726,4
"2003-11-18",NA,NA,4
"2003-11-19",NA,NA,4
"2003-11-20",NA,NA,4
"2003-11-21",NA,NA,4
"2003-11-22",NA,NA,4
"2003-11-23",3.48,0.572,4
"2003-11-24",NA,NA,4
"2003-11-25",NA,NA,4
"2003-11-26",NA,NA,4
"2003-11-27",NA,NA,4
"2003-11-28",NA,NA,4
"2003-11-29",1.79,0.938,4
"2003-11-30",NA,NA,4
"2003-12-01",NA,NA,4
"2003-12-02",NA,NA,4
"2003-12-03",NA,NA,4
"2003-12-04",NA,NA,4
"2003-12-05",2.87,0.464,4
"2003-12-06",NA,NA,4
"2003-12-07",NA,NA,4
"2003-12-08",NA,NA,4
"2003-12-09",NA,NA,4
"2003-12-10",NA,NA,4
"2003-12-11",2.78,0.486,4
"2003-12-12",NA,NA,4
"2003-12-13",NA,NA,4
"2003-12-14",NA,NA,4
"2003-12-15",NA,NA,4
"2003-12-16",NA,NA,4
"2003-12-17",1.56,0.58,4
"2003-12-18",NA,NA,4
"2003-12-19",NA,NA,4
"2003-12-20",NA,NA,4
"2003-12-21",NA,NA,4
"2003-12-22",NA,NA,4
"2003-12-23",2.19,0.649,4
"2003-12-24",NA,NA,4
"2003-12-25",NA,NA,4
"2003-12-26",NA,NA,4
"2003-12-27",NA,NA,4
"2003-12-28",NA,NA,4
"2003-12-29",1.89,0.464,4
"2003-12-30",NA,NA,4
"2003-12-31",NA,NA,4
"2004-01-01",NA,NA,4
"2004-01-02",NA,NA,4
"2004-01-03",NA,NA,4
"2004-01-04",3.97,0.522,4
"2004-01-05",NA,NA,4
"2004-01-06",NA,NA,4
"2004-01-07",NA,NA,4
"2004-01-08",NA,NA,4
"2004-01-09",NA,NA,4
"2004-01-10",6.06,2.35,4
"2004-01-11",NA,NA,4
"2004-01-12",NA,NA,4
"2004-01-13",NA,NA,4
"2004-01-14",NA,NA,4
"2004-01-15",NA,NA,4
"2004-01-16",2.32,2.11,4
"2004-01-17",NA,NA,4
"2004-01-18",NA,NA,4
"2004-01-19",NA,NA,4
"2004-01-20",NA,NA,4
"2004-01-21",NA,NA,4
"2004-01-22",2.08,2.04,4
"2004-01-23",NA,NA,4
"2004-01-24",NA,NA,4
"2004-01-25",NA,NA,4
"2004-01-26",NA,NA,4
"2004-01-27",NA,NA,4
"2004-01-28",2.11,1.88,4
"2004-01-29",NA,NA,4
"2004-01-30",NA,NA,4
"2004-01-31",NA,NA,4
"2004-02-01",NA,NA,4
"2004-02-02",NA,NA,4
"2004-02-03",4.87,1.23,4
"2004-02-04",NA,NA,4
"2004-02-05",NA,NA,4
"2004-02-06",NA,NA,4
"2004-02-07",NA,NA,4
"2004-02-08",NA,NA,4
"2004-02-09",3.39,0.564,4
"2004-02-10",NA,NA,4
"2004-02-11",NA,NA,4
"2004-02-12",NA,NA,4
"2004-02-13",NA,NA,4
"2004-02-14",NA,NA,4
"2004-02-15",2.54,2.53,4
"2004-02-16",NA,NA,4
"2004-02-17",NA,NA,4
"2004-02-18",NA,NA,4
"2004-02-19",NA,NA,4
"2004-02-20",NA,NA,4
"2004-02-21",3.73,3.32,4
"2004-02-22",NA,NA,4
"2004-02-23",NA,NA,4
"2004-02-24",NA,NA,4
"2004-02-25",NA,NA,4
"2004-02-26",NA,NA,4
"2004-02-27",3.75,2.55,4
"2004-02-28",NA,NA,4
"2004-02-29",NA,NA,4
"2004-03-01",NA,NA,4
"2004-03-02",NA,NA,4
"2004-03-03",NA,NA,4
"2004-03-04",2.24,0.791,4
"2004-03-05",NA,NA,4
"2004-03-06",NA,NA,4
"2004-03-07",NA,NA,4
"2004-03-08",NA,NA,4
"2004-03-09",NA,NA,4
"2004-03-10",3.75,1.69,4
"2004-03-11",NA,NA,4
"2004-03-12",NA,NA,4
"2004-03-13",NA,NA,4
"2004-03-14",NA,NA,4
"2004-03-15",NA,NA,4
"2004-03-16",3.5,0.498,4
"2004-03-17",NA,NA,4
"2004-03-18",NA,NA,4
"2004-03-19",NA,NA,4
"2004-03-20",NA,NA,4
"2004-03-21",NA,NA,4
"2004-03-22",2.48,1.58,4
"2004-03-23",NA,NA,4
"2004-03-24",NA,NA,4
"2004-03-25",NA,NA,4
"2004-03-26",NA,NA,4
"2004-03-27",NA,NA,4
"2004-03-28",2.15,0.769,4
"2004-03-29",NA,NA,4
"2004-03-30",NA,NA,4
"2004-03-31",NA,NA,4
"2004-04-01",NA,NA,4
"2004-04-02",NA,NA,4
"2004-04-03",2.59,0.768,4
"2004-04-04",NA,NA,4
"2004-04-05",NA,NA,4
"2004-04-06",NA,NA,4
"2004-04-07",NA,NA,4
"2004-04-08",NA,NA,4
"2004-04-09",2.79,0.697,4
"2004-04-10",NA,NA,4
"2004-04-11",NA,NA,4
"2004-04-12",NA,NA,4
"2004-04-13",NA,NA,4
"2004-04-14",NA,NA,4
"2004-04-15",2.98,1.48,4
"2004-04-16",NA,NA,4
"2004-04-17",NA,NA,4
"2004-04-18",NA,NA,4
"2004-04-19",NA,NA,4
"2004-04-20",NA,NA,4
"2004-04-21",3.91,0.713,4
"2004-04-22",NA,NA,4
"2004-04-23",NA,NA,4
"2004-04-24",NA,NA,4
"2004-04-25",NA,NA,4
"2004-04-26",NA,NA,4
"2004-04-27",2.09,0.366,4
"2004-04-28",NA,NA,4
"2004-04-29",NA,NA,4
"2004-04-30",NA,NA,4
"2004-05-01",NA,NA,4
"2004-05-02",NA,NA,4
"2004-05-03",3.81,0.467,4
"2004-05-04",NA,NA,4
"2004-05-05",NA,NA,4
"2004-05-06",NA,NA,4
"2004-05-07",NA,NA,4
"2004-05-08",NA,NA,4
"2004-05-09",5.91,0.504,4
"2004-05-10",NA,NA,4
"2004-05-11",NA,NA,4
"2004-05-12",NA,NA,4
"2004-05-13",NA,NA,4
"2004-05-14",NA,NA,4
"2004-05-15",3.92,0.768,4
"2004-05-16",NA,NA,4
"2004-05-17",NA,NA,4
"2004-05-18",NA,NA,4
"2004-05-19",NA,NA,4
"2004-05-20",NA,NA,4
"2004-05-21",5.42,0.532,4
"2004-05-22",NA,NA,4
"2004-05-23",NA,NA,4
"2004-05-24",NA,NA,4
"2004-05-25",NA,NA,4
"2004-05-26",NA,NA,4
"2004-05-27",4.26,0.633,4
"2004-05-28",NA,NA,4
"2004-05-29",NA,NA,4
"2004-05-30",NA,NA,4
"2004-05-31",NA,NA,4
"2004-06-01",NA,NA,4
"2004-06-02",3.37,0.792,4
"2004-06-03",NA,NA,4
"2004-06-04",NA,NA,4
"2004-06-05",NA,NA,4
"2004-06-06",NA,NA,4
"2004-06-07",NA,NA,4
"2004-06-08",NA,NA,4
"2004-06-09",NA,NA,4
"2004-06-10",NA,NA,4
"2004-06-11",NA,NA,4
"2004-06-12",NA,NA,4
"2004-06-13",NA,NA,4
"2004-06-14",NA,NA,4
"2004-06-15",NA,NA,4
"2004-06-16",NA,NA,4
"2004-06-17",NA,NA,4
"2004-06-18",NA,NA,4
"2004-06-19",NA,NA,4
"2004-06-20",10.2,0.484,4
"2004-06-21",NA,NA,4
"2004-06-22",NA,NA,4
"2004-06-23",NA,NA,4
"2004-06-24",NA,NA,4
"2004-06-25",NA,NA,4
"2004-06-26",2.39,0.373,4
"2004-06-27",NA,NA,4
"2004-06-28",NA,NA,4
"2004-06-29",NA,NA,4
"2004-06-30",NA,NA,4
"2004-07-01",NA,NA,4
"2004-07-02",NA,NA,4
"2004-07-03",NA,NA,4
"2004-07-04",NA,NA,4
"2004-07-05",NA,NA,4
"2004-07-06",NA,NA,4
"2004-07-07",NA,NA,4
"2004-07-08",3.31,0.297,4
"2004-07-09",NA,NA,4
"2004-07-10",NA,NA,4
"2004-07-11",NA,NA,4
"2004-07-12",NA,NA,4
"2004-07-13",NA,NA,4
"2004-07-14",NA,NA,4
"2004-07-15",NA,NA,4
"2004-07-16",NA,NA,4
"2004-07-17",NA,NA,4
"2004-07-18",NA,NA,4
"2004-07-19",NA,NA,4
"2004-07-20",14.8,0.275,4
"2004-07-21",NA,NA,4
"2004-07-22",NA,NA,4
"2004-07-23",NA,NA,4
"2004-07-24",NA,NA,4
"2004-07-25",NA,NA,4
"2004-07-26",5.45,0.641,4
"2004-07-27",NA,NA,4
"2004-07-28",NA,NA,4
"2004-07-29",NA,NA,4
"2004-07-30",NA,NA,4
"2004-07-31",NA,NA,4
"2004-08-01",6.4,0.348,4
"2004-08-02",NA,NA,4
"2004-08-03",NA,NA,4
"2004-08-04",NA,NA,4
"2004-08-05",NA,NA,4
"2004-08-06",NA,NA,4
"2004-08-07",8.84,0.207,4
"2004-08-08",NA,NA,4
"2004-08-09",NA,NA,4
"2004-08-10",NA,NA,4
"2004-08-11",NA,NA,4
"2004-08-12",NA,NA,4
"2004-08-13",5.84,0.258,4
"2004-08-14",NA,NA,4
"2004-08-15",NA,NA,4
"2004-08-16",NA,NA,4
"2004-08-17",NA,NA,4
"2004-08-18",NA,NA,4
"2004-08-19",12,1.29,4
"2004-08-20",NA,NA,4
"2004-08-21",NA,NA,4
"2004-08-22",NA,NA,4
"2004-08-23",NA,NA,4
"2004-08-24",NA,NA,4
"2004-08-25",5.96,0.77,4
"2004-08-26",NA,NA,4
"2004-08-27",NA,NA,4
"2004-08-28",NA,NA,4
"2004-08-29",NA,NA,4
"2004-08-30",NA,NA,4
"2004-08-31",9.94,0.643,4
"2004-09-01",NA,NA,4
"2004-09-02",NA,NA,4
"2004-09-03",NA,NA,4
"2004-09-04",NA,NA,4
"2004-09-05",NA,NA,4
"2004-09-06",5.57,0.267,4
"2004-09-07",NA,NA,4
"2004-09-08",NA,NA,4
"2004-09-09",NA,NA,4
"2004-09-10",NA,NA,4
"2004-09-11",NA,NA,4
"2004-09-12",NA,NA,4
"2004-09-13",NA,NA,4
"2004-09-14",NA,NA,4
"2004-09-15",NA,NA,4
"2004-09-16",NA,NA,4
"2004-09-17",NA,NA,4
"2004-09-18",4.77,0.346,4
"2004-09-19",NA,NA,4
"2004-09-20",NA,NA,4
"2004-09-21",NA,NA,4
"2004-09-22",NA,NA,4
"2004-09-23",NA,NA,4
"2004-09-24",9.7,0.879,4
"2004-09-25",NA,NA,4
"2004-09-26",NA,NA,4
"2004-09-27",NA,NA,4
"2004-09-28",NA,NA,4
"2004-09-29",NA,NA,4
"2004-09-30",4.68,0.576,4
"2004-10-01",NA,NA,4
"2004-10-02",NA,NA,4
"2004-10-03",NA,NA,4
"2004-10-04",NA,NA,4
"2004-10-05",NA,NA,4
"2004-10-06",5.42,0.544,4
"2004-10-07",NA,NA,4
"2004-10-08",NA,NA,4
"2004-10-09",NA,NA,4
"2004-10-10",NA,NA,4
"2004-10-11",NA,NA,4
"2004-10-12",NA,NA,4
"2004-10-13",NA,NA,4
"2004-10-14",NA,NA,4
"2004-10-15",NA,NA,4
"2004-10-16",NA,NA,4
"2004-10-17",NA,NA,4
"2004-10-18",NA,NA,4
"2004-10-19",NA,NA,4
"2004-10-20",NA,NA,4
"2004-10-21",NA,NA,4
"2004-10-22",NA,NA,4
"2004-10-23",NA,NA,4
"2004-10-24",2.5,0.359,4
"2004-10-25",NA,NA,4
"2004-10-26",NA,NA,4
"2004-10-27",NA,NA,4
"2004-10-28",NA,NA,4
"2004-10-29",NA,NA,4
"2004-10-30",9.48,0.746,4
"2004-10-31",NA,NA,4
"2004-11-01",NA,NA,4
"2004-11-02",NA,NA,4
"2004-11-03",NA,NA,4
"2004-11-04",NA,NA,4
"2004-11-05",2.22,0.673,4
"2004-11-06",NA,NA,4
"2004-11-07",NA,NA,4
"2004-11-08",NA,NA,4
"2004-11-09",NA,NA,4
"2004-11-10",NA,NA,4
"2004-11-11",3.02,0.434,4
"2004-11-12",NA,NA,4
"2004-11-13",NA,NA,4
"2004-11-14",NA,NA,4
"2004-11-15",NA,NA,4
"2004-11-16",NA,NA,4
"2004-11-17",4.48,1.36,4
"2004-11-18",NA,NA,4
"2004-11-19",NA,NA,4
"2004-11-20",NA,NA,4
"2004-11-21",NA,NA,4
"2004-11-22",NA,NA,4
"2004-11-23",3.33,0.53,4
"2004-11-24",NA,NA,4
"2004-11-25",NA,NA,4
"2004-11-26",NA,NA,4
"2004-11-27",NA,NA,4
"2004-11-28",NA,NA,4
"2004-11-29",1.63,0.385,4
"2004-11-30",NA,NA,4
"2004-12-01",NA,NA,4
"2004-12-02",NA,NA,4
"2004-12-03",NA,NA,4
"2004-12-04",NA,NA,4
"2004-12-05",2.77,1.4,4
"2004-12-06",NA,NA,4
"2004-12-07",NA,NA,4
"2004-12-08",NA,NA,4
"2004-12-09",NA,NA,4
"2004-12-10",NA,NA,4
"2004-12-11",2.47,0.498,4
"2004-12-12",NA,NA,4
"2004-12-13",NA,NA,4
"2004-12-14",NA,NA,4
"2004-12-15",NA,NA,4
"2004-12-16",NA,NA,4
"2004-12-17",2.02,0.933,4
"2004-12-18",NA,NA,4
"2004-12-19",NA,NA,4
"2004-12-20",NA,NA,4
"2004-12-21",NA,NA,4
"2004-12-22",NA,NA,4
"2004-12-23",2.44,0.984,4
"2004-12-24",NA,NA,4
"2004-12-25",NA,NA,4
"2004-12-26",NA,NA,4
"2004-12-27",NA,NA,4
"2004-12-28",NA,NA,4
"2004-12-29",3.28,1.43,4
"2004-12-30",NA,NA,4
"2004-12-31",NA,NA,4
"2005-01-01",NA,NA,4
"2005-01-02",NA,NA,4
"2005-01-03",NA,NA,4
"2005-01-04",3.49,0.67,4
"2005-01-05",NA,NA,4
"2005-01-06",NA,NA,4
"2005-01-07",NA,NA,4
"2005-01-08",NA,NA,4
"2005-01-09",NA,NA,4
"2005-01-10",5.02,1.18,4
"2005-01-11",NA,NA,4
"2005-01-12",NA,NA,4
"2005-01-13",NA,NA,4
"2005-01-14",NA,NA,4
"2005-01-15",NA,NA,4
"2005-01-16",3.43,3.87,4
"2005-01-17",NA,NA,4
"2005-01-18",NA,NA,4
"2005-01-19",NA,NA,4
"2005-01-20",NA,NA,4
"2005-01-21",NA,NA,4
"2005-01-22",NA,NA,4
"2005-01-23",NA,NA,4
"2005-01-24",NA,NA,4
"2005-01-25",NA,NA,4
"2005-01-26",NA,NA,4
"2005-01-27",NA,NA,4
"2005-01-28",2.65,1.44,4
"2005-01-29",NA,NA,4
"2005-01-30",NA,NA,4
"2005-01-31",NA,NA,4
"2005-02-01",NA,NA,4
"2005-02-02",NA,NA,4
"2005-02-03",3.55,1.42,4
"2005-02-04",NA,NA,4
"2005-02-05",NA,NA,4
"2005-02-06",NA,NA,4
"2005-02-07",NA,NA,4
"2005-02-08",NA,NA,4
"2005-02-09",1.76,0.881,4
"2005-02-10",NA,NA,4
"2005-02-11",NA,NA,4
"2005-02-12",NA,NA,4
"2005-02-13",NA,NA,4
"2005-02-14",NA,NA,4
"2005-02-15",3.73,1.13,4
"2005-02-16",NA,NA,4
"2005-02-17",NA,NA,4
"2005-02-18",NA,NA,4
"2005-02-19",NA,NA,4
"2005-02-20",NA,NA,4
"2005-02-21",6.23,0.956,4
"2005-02-22",NA,NA,4
"2005-02-23",NA,NA,4
"2005-02-24",NA,NA,4
"2005-02-25",NA,NA,4
"2005-02-26",NA,NA,4
"2005-02-27",4.75,1.2,4
"2005-02-28",NA,NA,4
"2005-03-01",NA,NA,4
"2005-03-02",NA,NA,4
"2005-03-03",NA,NA,4
"2005-03-04",NA,NA,4
"2005-03-05",1.92,0.496,4
"2005-03-06",NA,NA,4
"2005-03-07",NA,NA,4
"2005-03-08",NA,NA,4
"2005-03-09",NA,NA,4
"2005-03-10",NA,NA,4
"2005-03-11",1.2,0.273,4
"2005-03-12",NA,NA,4
"2005-03-13",NA,NA,4
"2005-03-14",NA,NA,4
"2005-03-15",NA,NA,4
"2005-03-16",NA,NA,4
"2005-03-17",4.24,1.83,4
"2005-03-18",NA,NA,4
"2005-03-19",NA,NA,4
"2005-03-20",NA,NA,4
"2005-03-21",NA,NA,4
"2005-03-22",NA,NA,4
"2005-03-23",1.52,0.411,4
"2005-03-24",NA,NA,4
"2005-03-25",NA,NA,4
"2005-03-26",NA,NA,4
"2005-03-27",NA,NA,4
"2005-03-28",NA,NA,4
"2005-03-29",2.69,1.3,4
"2005-03-30",NA,NA,4
"2005-03-31",NA,NA,4
"2005-04-01",NA,NA,4
"2005-04-02",NA,NA,4
"2005-04-03",NA,NA,4
"2005-04-04",2.49,0.732,4
"2005-04-05",NA,NA,4
"2005-04-06",NA,NA,4
"2005-04-07",NA,NA,4
"2005-04-08",NA,NA,4
"2005-04-09",NA,NA,4
"2005-04-10",NA,NA,4
"2005-04-11",NA,NA,4
"2005-04-12",NA,NA,4
"2005-04-13",NA,NA,4
"2005-04-14",NA,NA,4
"2005-04-15",NA,NA,4
"2005-04-16",NA,NA,4
"2005-04-17",NA,NA,4
"2005-04-18",NA,NA,4
"2005-04-19",NA,NA,4
"2005-04-20",NA,NA,4
"2005-04-21",NA,NA,4
"2005-04-22",3.71,0.753,4
"2005-04-23",NA,NA,4
"2005-04-24",NA,NA,4
"2005-04-25",NA,NA,4
"2005-04-26",NA,NA,4
"2005-04-27",NA,NA,4
"2005-04-28",2.57,0.538,4
"2005-04-29",NA,NA,4
"2005-04-30",NA,NA,4
"2005-05-01",NA,NA,4
"2005-05-02",NA,NA,4
"2005-05-03",NA,NA,4
"2005-05-04",4.06,0.437,4
"2005-05-05",NA,NA,4
"2005-05-06",NA,NA,4
"2005-05-07",NA,NA,4
"2005-05-08",NA,NA,4
"2005-05-09",NA,NA,4
"2005-05-10",5.28,1.13,4
"2005-05-11",NA,NA,4
"2005-05-12",NA,NA,4
"2005-05-13",NA,NA,4
"2005-05-14",NA,NA,4
"2005-05-15",NA,NA,4
"2005-05-16",4.15,0.356,4
"2005-05-17",NA,NA,4
"2005-05-18",NA,NA,4
"2005-05-19",NA,NA,4
"2005-05-20",NA,NA,4
"2005-05-21",NA,NA,4
"2005-05-22",8.38,0.322,4
"2005-05-23",NA,NA,4
"2005-05-24",NA,NA,4
"2005-05-25",NA,NA,4
"2005-05-26",NA,NA,4
"2005-05-27",NA,NA,4
"2005-05-28",7.31,0.424,4
"2005-05-29",NA,NA,4
"2005-05-30",NA,NA,4
"2005-05-31",NA,NA,4
"2005-06-01",NA,NA,4
"2005-06-02",NA,NA,4
"2005-06-03",3.92,0.343,4
"2005-06-04",NA,NA,4
"2005-06-05",NA,NA,4
"2005-06-06",NA,NA,4
"2005-06-07",NA,NA,4
"2005-06-08",NA,NA,4
"2005-06-09",3.56,0.605,4
"2005-06-10",NA,NA,4
"2005-06-11",NA,NA,4
"2005-06-12",NA,NA,4
"2005-06-13",NA,NA,4
"2005-06-14",NA,NA,4
"2005-06-15",2.96,0.287,4
"2005-06-16",NA,NA,4
"2005-06-17",NA,NA,4
"2005-06-18",NA,NA,4
"2005-06-19",NA,NA,4
"2005-06-20",NA,NA,4
"2005-06-21",9.64,1.23,4
"2005-06-22",NA,NA,4
"2005-06-23",NA,NA,4
"2005-06-24",NA,NA,4
"2005-06-25",NA,NA,4
"2005-06-26",NA,NA,4
"2005-06-27",6.52,0.48,4
"2005-06-28",NA,NA,4
"2005-06-29",NA,NA,4
"2005-06-30",NA,NA,4
"2005-07-01",NA,NA,4
"2005-07-02",NA,NA,4
"2005-07-03",5.29,0.455,4
"2005-07-04",NA,NA,4
"2005-07-05",NA,NA,4
"2005-07-06",NA,NA,4
"2005-07-07",NA,NA,4
"2005-07-08",NA,NA,4
"2005-07-09",11,0.472,4
"2005-07-10",NA,NA,4
"2005-07-11",NA,NA,4
"2005-07-12",NA,NA,4
"2005-07-13",NA,NA,4
"2005-07-14",NA,NA,4
"2005-07-15",3.49,0.43,4
"2005-07-16",NA,NA,4
"2005-07-17",NA,NA,4
"2005-07-18",NA,NA,4
"2005-07-19",NA,NA,4
"2005-07-20",NA,NA,4
"2005-07-21",5.24,0.424,4
"2005-07-22",NA,NA,4
"2005-07-23",NA,NA,4
"2005-07-24",NA,NA,4
"2005-07-25",NA,NA,4
"2005-07-26",NA,NA,4
"2005-07-27",14,0.482,4
"2005-07-28",NA,NA,4
"2005-07-29",NA,NA,4
"2005-07-30",NA,NA,4
"2005-07-31",NA,NA,4
"2005-08-01",NA,NA,4
"2005-08-02",8.5,0.521,4
"2005-08-03",NA,NA,4
"2005-08-04",NA,NA,4
"2005-08-05",NA,NA,4
"2005-08-06",NA,NA,4
"2005-08-07",NA,NA,4
"2005-08-08",3.86,0.495,4
"2005-08-09",NA,NA,4
"2005-08-10",NA,NA,4
"2005-08-11",NA,NA,4
"2005-08-12",NA,NA,4
"2005-08-13",NA,NA,4
"2005-08-14",8.93,0.432,4
"2005-08-15",NA,NA,4
"2005-08-16",NA,NA,4
"2005-08-17",NA,NA,4
"2005-08-18",NA,NA,4
"2005-08-19",NA,NA,4
"2005-08-20",10.9,0.315,4
"2005-08-21",NA,NA,4
"2005-08-22",NA,NA,4
"2005-08-23",NA,NA,4
"2005-08-24",NA,NA,4
"2005-08-25",NA,NA,4
"2005-08-26",12,0.246,4
"2005-08-27",NA,NA,4
"2005-08-28",NA,NA,4
"2005-08-29",NA,NA,4
"2005-08-30",NA,NA,4
"2005-08-31",NA,NA,4
"2005-09-01",6.37,0.316,4
"2005-09-02",NA,NA,4
"2005-09-03",NA,NA,4
"2005-09-04",NA,NA,4
"2005-09-05",NA,NA,4
"2005-09-06",NA,NA,4
"2005-09-07",4.45,0.437,4
"2005-09-08",NA,NA,4
"2005-09-09",NA,NA,4
"2005-09-10",NA,NA,4
"2005-09-11",NA,NA,4
"2005-09-12",NA,NA,4
"2005-09-13",23.6,0.347,4
"2005-09-14",NA,NA,4
"2005-09-15",NA,NA,4
